local,o3,pm25
2017-03-03 05:00:00+05:45,0.002,106.1
2017-03-03 06:00:00+05:45,0.002,134.5
2017-03-03 07:00:00+05:45,0.002,154.7
2017-03-03 08:00:00+05:45,0.003,155.4
2017-03-03 09:00:00+05:45,0.005,178.7
2017-03-03 10:00:00+05:45,0.031,143.8
2017-03-03 11:00:00+05:45,0.068,106.4
2017-03-03 12:00:00+05:45,0.075,72.1
2017-03-03 13:00:00+05:45,0.058,48.0
2017-03-03 14:00:00+05:45,0.055,40.0
2017-03-03 15:00:00+05:45,0.056,36.0
2017-03-03 16:00:00+05:45,0.057,48.5
2017-03-03 17:00:00+05:45,0.055,41.7
2017-03-03 18:00:00+05:45,0.051,42.3
2017-03-03 19:00:00+05:45,0.039,59.6
2017-03-03 20:00:00+05:45,0.018,70.3
2017-03-03 21:00:00+05:45,0.005,146.6
2017-03-03 22:00:00+05:45,0.003,180.3
2017-03-03 23:00:00+05:45,0.003,180.3
2017-03-04 00:00:00+05:45,0.002,142.1
2017-03-04 01:00:00+05:45,0.006,112.9
2017-03-04 02:00:00+05:45,0.002,105.5
2017-03-04 03:00:00+05:45,0.005,92.8
2017-03-04 04:00:00+05:45,0.005,92.8
2017-03-04 05:00:00+05:45,0.0085,105.11666666666666
2017-03-04 06:00:00+05:45,0.012,117.43333333333332
2017-03-04 07:00:00+05:45,0.0155,129.75
2017-03-04 08:00:00+05:45,0.019,142.06666666666666
2017-03-04 09:00:00+05:45,0.0225,154.38333333333333
2017-03-04 10:00:00+05:45,0.026,166.7
2017-03-04 11:00:00+05:45,0.02584955752212389,166.15309734513272
2017-03-04 12:00:00+05:45,0.025699115044247788,165.60619469026548
2017-03-04 13:00:00+05:45,0.02554867256637168,165.05929203539822
2017-03-04 14:00:00+05:45,0.025398230088495573,164.51238938053098
2017-03-04 15:00:00+05:45,0.02524778761061947,163.9654867256637
2017-03-04 16:00:00+05:45,0.02509734513274336,163.41858407079644
2017-03-09 03:00:00+05:45,0.009,104.9
2017-03-09 04:00:00+05:45,0.017,119.0
2017-03-09 05:00:00+05:45,0.02,122.5
2017-03-09 06:00:00+05:45,0.018,107.2
2017-03-09 07:00:00+05:45,0.01,127.2
2017-03-09 08:00:00+05:45,0.015,132.6
2017-03-09 09:00:00+05:45,0.021,144.0
2017-03-09 10:00:00+05:45,0.026,157.8
2017-03-09 11:00:00+05:45,0.058,140.3
2017-03-09 12:00:00+05:45,0.075,103.4
2017-03-09 13:00:00+05:45,0.071,67.2
2017-03-09 14:00:00+05:45,0.071,51.6
2017-03-09 15:00:00+05:45,0.065,51.5
2017-03-09 16:00:00+05:45,0.063,52.56666666666667
2017-03-09 17:00:00+05:45,0.064,53.63333333333333
2017-03-09 18:00:00+05:45,0.066,54.7
2017-03-09 19:00:00+05:45,0.062,65.9
2017-03-09 20:00:00+05:45,0.053,62.2
2017-03-09 21:00:00+05:45,0.034,71.3
2017-03-09 22:00:00+05:45,0.022,85.8
2017-03-09 23:00:00+05:45,0.003,105.0
2017-03-10 00:00:00+05:45,0.004,115.5
2017-03-10 01:00:00+05:45,0.022,105.2
2017-03-10 02:00:00+05:45,0.022,105.2
2017-03-10 03:00:00+05:45,0.02225,101.355
2017-03-10 04:00:00+05:45,0.0225,97.51
2017-03-10 05:00:00+05:45,0.02275,93.665
2017-03-10 06:00:00+05:45,0.023,89.82000000000001
2017-03-10 07:00:00+05:45,0.02325,85.975
2017-03-10 08:00:00+05:45,0.0235,82.13
2017-03-10 22:00:00+05:45,0.027,28.3
2017-03-10 23:00:00+05:45,0.031,23.1
2017-03-11 00:00:00+05:45,0.013,21.5
2017-03-11 01:00:00+05:45,0.015,20.7
2017-03-11 02:00:00+05:45,0.02,24.8
2017-03-11 03:00:00+05:45,0.026,26.9
2017-03-11 04:00:00+05:45,0.028,25.9
2017-03-11 05:00:00+05:45,0.025,23.9
2017-03-11 06:00:00+05:45,0.031,17.4
2017-03-11 07:00:00+05:45,0.023,17.7
2017-03-11 08:00:00+05:45,0.022,23.3
2017-03-11 09:00:00+05:45,0.02,28.1
2017-03-11 10:00:00+05:45,0.019,40.5
2017-03-11 11:00:00+05:45,0.027,34.2
2017-03-11 12:00:00+05:45,0.033,27.1
2017-03-11 13:00:00+05:45,0.035,22.5
2017-03-11 14:00:00+05:45,0.041,27.2
2017-03-11 15:00:00+05:45,0.04,26.6
2017-03-11 16:00:00+05:45,0.041,25.3
2017-03-11 17:00:00+05:45,0.042,24.1
2017-03-11 18:00:00+05:45,0.041,26.5
2017-03-11 19:00:00+05:45,0.036,27.7
2017-03-11 20:00:00+05:45,0.036,27.8
2017-03-11 21:00:00+05:45,0.038,23.9
2017-03-11 22:00:00+05:45,0.035,27.6
2017-03-11 23:00:00+05:45,0.03,30.7
2017-03-12 00:00:00+05:45,0.016,36.4
2017-03-12 01:00:00+05:45,0.017,31.7
2017-03-12 02:00:00+05:45,0.0275,25.75
2017-03-12 03:00:00+05:45,0.038,19.8
2017-03-12 04:00:00+05:45,0.044,13.7
2017-03-12 05:00:00+05:45,0.036,12.3
2017-03-12 06:00:00+05:45,0.019,17.1
2017-03-12 07:00:00+05:45,0.008,24.0
2017-03-12 08:00:00+05:45,0.019,30.5
2017-03-12 09:00:00+05:45,0.038,30.5
2017-03-12 10:00:00+05:45,0.055,32.7
2017-03-12 11:00:00+05:45,0.067,34.9
2017-03-12 12:00:00+05:45,0.07,32.8
2017-03-12 13:00:00+05:45,0.063,29.3
2017-03-12 14:00:00+05:45,0.063,27.1
2017-03-12 15:00:00+05:45,0.062,24.0
2017-03-12 16:00:00+05:45,0.062,23.0
2017-03-12 17:00:00+05:45,0.062,23.7
2017-03-12 18:00:00+05:45,0.061,25.5
2017-03-12 19:00:00+05:45,0.058,29.2
2017-03-12 20:00:00+05:45,0.05,34.5
2017-03-12 21:00:00+05:45,0.04,37.1
2017-03-12 22:00:00+05:45,0.035,41.7
2017-03-12 23:00:00+05:45,0.015,47.8
2017-03-13 00:00:00+05:45,0.013,42.9
2017-03-13 01:00:00+05:45,0.016,44.4
2017-03-13 02:00:00+05:45,0.019,50.2
2017-03-13 03:00:00+05:45,0.016,47.1
2017-03-13 04:00:00+05:45,0.012,45.5
2017-03-13 05:00:00+05:45,0.015,46.7
2017-03-13 06:00:00+05:45,0.003,60.3
2017-03-13 07:00:00+05:45,0.002,85.2
2017-03-13 08:00:00+05:45,0.008,96.1
2017-03-13 09:00:00+05:45,0.028,100.0
2017-03-13 10:00:00+05:45,0.035,100.0
2017-03-13 11:00:00+05:45,0.054,67.3
2017-03-13 12:00:00+05:45,0.065,51.1
2017-03-13 13:00:00+05:45,0.066,37.7
2017-03-13 14:00:00+05:45,0.065,32.1
2017-03-13 15:00:00+05:45,0.064,31.0
2017-03-13 16:00:00+05:45,0.062,29.0
2017-03-13 17:00:00+05:45,0.059,31.5
2017-03-13 18:00:00+05:45,0.056,47.2
2017-03-13 19:00:00+05:45,0.052,60.1
2017-03-13 20:00:00+05:45,0.048,68.5
2017-03-13 21:00:00+05:45,0.045,70.7
2017-03-13 22:00:00+05:45,0.041,73.8
2017-03-13 23:00:00+05:45,0.035,74.9
2017-03-14 00:00:00+05:45,0.026,76.9
2017-03-14 01:00:00+05:45,0.031,73.9
2017-03-14 02:00:00+05:45,0.03,74.0
2017-03-14 03:00:00+05:45,0.025,73.5
2017-03-14 04:00:00+05:45,0.014,72.7
2017-03-14 05:00:00+05:45,0.009,76.8
2017-03-14 06:00:00+05:45,0.001,91.6
2017-03-14 07:00:00+05:45,0.001,91.6
2017-03-14 08:00:00+05:45,0.008,94.5
2017-03-14 09:00:00+05:45,0.026,97.39999999999999
2017-03-14 10:00:00+05:45,0.052,100.3
2017-03-14 11:00:00+05:45,0.065,84.15
2017-03-14 12:00:00+05:45,0.079,68.0
2017-03-14 13:00:00+05:45,0.084,57.2
2017-03-14 14:00:00+05:45,0.073,59.2
2017-03-14 15:00:00+05:45,0.065,51.8
2017-03-14 16:00:00+05:45,0.065,48.8
2017-03-14 17:00:00+05:45,0.065,43.8
2017-03-14 18:00:00+05:45,0.063,45.4
2017-03-14 19:00:00+05:45,0.058,46.7
2017-03-14 20:00:00+05:45,0.052,50.8
2017-03-14 21:00:00+05:45,0.051,49.9
2017-03-14 22:00:00+05:45,0.049,49.3
2017-03-14 23:00:00+05:45,0.039,57.9
2017-03-15 00:00:00+05:45,0.028,65.9
2017-03-15 01:00:00+05:45,0.02,75.8
2017-03-15 02:00:00+05:45,0.023,72.4
2017-03-15 03:00:00+05:45,0.016,68.2
2017-03-15 04:00:00+05:45,0.018,61.6
2017-03-15 05:00:00+05:45,0.009,67.5
2017-03-15 06:00:00+05:45,0.002,79.3
2017-03-15 07:00:00+05:45,0.002,100.9
2017-03-15 08:00:00+05:45,0.009,112.9
2017-03-15 09:00:00+05:45,0.029,120.5
2017-03-15 10:00:00+05:45,0.055,119.7
2017-03-15 11:00:00+05:45,0.073,102.3
2017-03-15 12:00:00+05:45,0.071,71.6
2017-03-15 13:00:00+05:45,0.073,55.8
2017-03-15 14:00:00+05:45,0.068,43.9
2017-03-15 15:00:00+05:45,0.068,40.9
2017-03-15 16:00:00+05:45,0.069,39.4
2017-03-15 17:00:00+05:45,0.068,40.2
2017-03-15 18:00:00+05:45,0.068,46.1
2017-03-15 19:00:00+05:45,0.06,58.5
2017-03-15 20:00:00+05:45,0.047,70.2
2017-03-15 21:00:00+05:45,0.039,79.6
2017-03-15 22:00:00+05:45,0.028,91.0
2017-03-15 23:00:00+05:45,0.032,110.0
2017-03-16 00:00:00+05:45,0.007,101.0
2017-03-16 01:00:00+05:45,0.007,88.0
2017-03-16 02:00:00+05:45,0.022,71.0
2017-03-16 03:00:00+05:45,0.012,94.0
2017-03-16 04:00:00+05:45,0.019,81.0
2017-03-16 05:00:00+05:45,0.017,75.0
2017-03-16 06:00:00+05:45,0.02,98.0
2017-03-16 07:00:00+05:45,0.012,237.0
2017-03-16 08:00:00+05:45,0.014,145.0
2017-03-16 09:00:00+05:45,0.034,171.0
2017-03-16 10:00:00+05:45,0.063,146.0
2017-03-16 11:00:00+05:45,0.091,109.0
2017-03-16 12:00:00+05:45,0.101,79.0
2017-03-16 13:00:00+05:45,0.078,42.0
2017-03-16 14:00:00+05:45,0.072,44.0
2017-03-16 15:00:00+05:45,0.073,48.0
2017-03-16 16:00:00+05:45,0.073,56.0
2017-03-16 17:00:00+05:45,0.071,48.0
2017-03-16 18:00:00+05:45,0.067,52.0
2017-03-16 19:00:00+05:45,0.062,67.0
2017-03-16 20:00:00+05:45,0.049,82.0
2017-03-16 21:00:00+05:45,0.052,84.0
2017-03-16 22:00:00+05:45,0.066,68.0
2017-03-16 23:00:00+05:45,0.069,62.0
2017-03-17 00:00:00+05:45,0.068,64.0
2017-03-17 01:00:00+05:45,0.06,69.0
2017-03-17 02:00:00+05:45,0.046,70.0
2017-03-17 03:00:00+05:45,0.042,79.0
2017-03-17 04:00:00+05:45,0.029,78.0
2017-03-17 05:00:00+05:45,0.017,87.0
2017-03-17 06:00:00+05:45,0.007,110.0
2017-03-17 07:00:00+05:45,0.005,134.0
2017-03-17 08:00:00+05:45,0.016,162.0
2017-03-17 09:00:00+05:45,0.04,136.0
2017-03-17 10:00:00+05:45,0.055,103.0
2017-03-17 11:00:00+05:45,0.073,89.0
2017-03-17 12:00:00+05:45,0.077,62.0
2017-03-17 13:00:00+05:45,0.061,48.0
